,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
2146292,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1992,71.2386725584317
2146415,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,0.854376223100985
2146604,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1992,1.82819719842089
2146714,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,14.385430218473802
2268775,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1993,75.7745825540425
2268897,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,2.6073707041625496
2269086,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1993,1.78635720671581
2269210,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,13.7274758526577
2393018,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1994,76.4936739114958
2393140,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,4.55400798296188
2393346,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1994,1.66279125942048
2393456,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,13.1272693062661
2520897,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1995,77.8551319633896
2521021,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,2.7384939404824307
2521240,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1995,1.52439319595165
2521370,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,13.3582824788735
2655953,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1996,78.5432948820081
2656076,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,1.67960446104939
2656292,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1996,1.3742225216910202
2656378,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1996,1.6162
2656420,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,13.939453492847305
2791438,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1997,75.4550820079523
2791559,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,4.2533481379361895
2791767,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1997,1.22046737432548
2791843,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1997,1.62374
2791885,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,14.6324064541323
2928124,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1998,72.48289261580179
2928253,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,4.13818697235091
2928482,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1998,1.22711453673951
2928573,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1998,1.71746
2928621,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,14.7061586583114
3066342,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1999,66.454192015731
3066467,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,4.997256137905071
3066687,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1999,1.21765342942272
3066777,Canada,CAN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1999,1.76045
3066825,Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,14.766455888885
3212319,Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,2000,58.8876362954235
3212448,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.12312240861962
3212687,Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2000,1.12237129905679
